,Week_Data_Collected,State,Zip,Hosptial_Name,City,Total_Beds_Available,Total_Covid_Patients,Total_Beds_in_Use,Percent Covid Patients,Percent Capacity Full,Latitude,Longitude
0,1/1/2021,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,93.4,29.7,93.4,0.32,1.0,37.68973,-121.89244
1,12/25/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,100.6,32.0,100.6,0.32,1.0,37.68973,-121.89244
2,12/18/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,106.1,27.1,106.1,0.26,1.0,37.68973,-121.89244
3,12/11/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,106.9,23.0,106.9,0.22,1.0,37.68973,-121.89244
4,12/4/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,93.7,14.1,93.7,0.15,1.0,37.68973,-121.89244
5,11/27/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,105.1,13.4,105.1,0.13,1.0,37.68973,-121.89244
6,11/20/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,92.0,8.4,92.0,0.09,1.0,37.68973,-121.89244
7,11/13/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,93.1,-999999.0,93.1,-10741.13,1.0,37.68973,-121.89244
8,11/6/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,96.0,-999999.0,96.0,-10416.66,1.0,37.68973,-121.89244
9,10/30/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,81.0,-999999.0,81.0,-12345.67,1.0,37.68973,-121.89244
10,10/23/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,88.7,-999999.0,88.7,-11273.95,1.0,37.68973,-121.89244
11,10/16/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,90.4,4.1,90.4,0.05,1.0,37.68973,-121.89244
12,10/9/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,79.3,-999999.0,79.3,-12610.33,1.0,37.68973,-121.89244
13,10/2/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,77.0,4.9,77.0,0.06,1.0,37.68973,-121.89244
14,9/25/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,84.7,-999999.0,84.7,-11806.36,1.0,37.68973,-121.89244
15,9/18/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,93.7,5.3,93.7,0.06,1.0,37.68973,-121.89244
16,9/11/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,98.9,8.7,98.9,0.09,1.0,37.68973,-121.89244
17,9/4/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,87.9,7.0,87.9,0.08,1.0,37.68973,-121.89244
18,8/28/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,96.6,8.3,96.6,0.09,1.0,37.68973,-121.89244
19,8/21/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,100.7,11.1,100.7,0.11,1.0,37.68973,-121.89244
20,8/14/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,95.7,8.6,95.7,0.09,1.0,37.68973,-121.89244
21,8/7/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,81.9,5.4,81.9,0.07,1.0,37.68973,-121.89244
22,7/31/2020,CA,94588.0,STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,80.9,6.3,80.9,0.08,1.0,37.68973,-121.89244
23,1/1/2021,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,144.1,36.4,143.7,0.25,1.0,37.856926,-122.25084
24,12/25/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,128.6,24.7,127.9,0.19,0.99,37.856926,-122.25084
25,12/18/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,139.9,22.1,138.4,0.16,0.99,37.856926,-122.25084
26,12/11/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,123.0,17.9,122.1,0.15,0.99,37.856926,-122.25084
27,12/4/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,110.6,9.9,109.9,0.09,0.99,37.856926,-122.25084
28,11/27/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,110.6,4.1,109.9,0.04,0.99,37.856926,-122.25084
29,11/20/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,109.3,-999999.0,108.3,-9149.12,0.99,37.856926,-122.25084
30,11/13/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,110.1,-999999.0,110.0,-9082.64,1.0,37.856926,-122.25084
31,11/6/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,98.4,-999999.0,97.3,-10162.59,0.99,37.856926,-122.25084
32,10/30/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,116.9,-999999.0,116.4,-8554.31,1.0,37.856926,-122.25084
33,10/23/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,119.3,-999999.0,119.3,-8382.22,1.0,37.856926,-122.25084
34,10/16/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,118.0,-999999.0,116.9,-8474.57,0.99,37.856926,-122.25084
35,10/9/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,129.1,4.1,129.0,0.03,1.0,37.856926,-122.25084
36,10/2/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,123.3,-999999.0,122.0,-8110.29,0.99,37.856926,-122.25084
37,9/25/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,122.0,4.9,121.6,0.04,1.0,37.856926,-122.25084
38,9/18/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,124.1,5.4,123.4,0.04,0.99,37.856926,-122.25084
39,9/11/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,122.9,-999999.0,122.3,-8136.69,1.0,37.856926,-122.25084
40,9/4/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,135.9,7.9,134.3,0.06,0.99,37.856926,-122.25084
41,8/28/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,144.1,8.4,143.0,0.06,0.99,37.856926,-122.25084
42,8/21/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,135.1,11.4,134.4,0.08,0.99,37.856926,-122.25084
43,8/14/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,126.8,7.5,125.8,0.06,0.99,37.856926,-122.25084
44,8/7/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,122.0,-999999.0,120.6,-8196.71,0.99,37.856926,-122.25084
45,7/31/2020,CA,94705.0,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,125.4,11.6,124.0,0.09,0.99,37.856926,-122.25084
46,1/1/2021,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,169.0,35.1,168.0,0.21,0.99,37.799727000000004,-122.21211000000001
47,12/25/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,160.9,44.0,158.4,0.27,0.98,37.799727000000004,-122.21211000000001
48,12/18/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,182.3,47.9,178.9,0.26,0.98,37.799727000000004,-122.21211000000001
49,12/11/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,182.0,37.1,177.7,0.2,0.98,37.799727000000004,-122.21211000000001
50,12/4/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,163.3,20.0,161.0,0.12,0.99,37.799727000000004,-122.21211000000001
51,11/27/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,155.3,13.7,152.1,0.09,0.98,37.799727000000004,-122.21211000000001
